,id,tags,lonlat,sport,leisure
4477,251814859,{'leisure': 'park'},"(2579834258, 2579834259, 2579834260, 2579834261, 2579834258)",,park
4478,251873053,{'leisure': 'park'},"(2580349535, 2580349536, 2580349537, 2580349538, 2580349535)",,park
4479,251878042,{'leisure': 'park'},"(2580377279, 2580377280, 2580377281, 2580377286, 2580377282, 2580377279)",,park
4480,251878043,{'leisure': 'park'},"(2580377283, 2580377284, 2580377285, 2580377286, 2580377283)",,park
4481,251878740,{'leisure': 'park'},"(2580386766, 2580386767, 2580386769, 2580386770, 2580386766)",,park
4482,251878741,{'leisure': 'park'},"(2580386772, 2580386774, 2580386776, 2580386777, 2580386772)",,park
4483,251878742,{'leisure': 'park'},"(2580386779, 2580386781, 2580386783, 2580386785, 2580386779)",,park
4484,251878743,{'leisure': 'park'},"(2580386786, 2580386788, 2580386789, 2580386790, 2580386786)",,park
4485,251878748,{'leisure': 'park'},"(2580386811, 2580386813, 2580386815, 2580386817, 2580386811)",,park
4486,251879615,{'leisure': 'park'},"(2580389786, 2580389783, 6609791456, 2580389784, 2580389786)",,park
4487,251879994,{'leisure': 'park'},"(2580393014, 2580393015, 2580393016, 2580393021, 2580393017, 2580393014)",,park
4488,251879995,{'leisure': 'park'},"(2580393018, 2580393019, 2580393020, 2580393021, 2580393018)",,park
4489,251879999,{'leisure': 'park'},"(2580393040, 2580393041, 2580393042, 2580393043, 2580393040)",,park
4490,251880461,{'leisure': 'park'},"(2580396342, 2580396343, 2580396344, 2580396345, 2580396342)",,park
4491,251880465,{'leisure': 'park'},"(2580396361, 2580396362, 2580396363, 2580396364, 2580396361)",,park
4492,251880493,{'leisure': 'park'},"(2580396486, 2580396487, 2580396489, 2580396488, 2580396484, 2580396486)",,park
4493,251882469,{'leisure': 'park'},"(2580413065, 2580413066, 2580413067, 2580413068, 2580413069, 2580413065)",,park
4494,251882473,{'leisure': 'park'},"(2580413086, 2580413087, 2580413088, 2580413089, 2580413086)",,park
4495,251882474,{'leisure': 'park'},"(2580413090, 2580413091, 2580413092, 2580413100, 2580413103, 2580413093, 2580413090)",,park
4496,251882475,{'leisure': 'park'},"(2580413094, 2580413095, 2580413096, 2580413097, 2580413098, 2580413099, 2580413094)",,park
4497,251882476,{'leisure': 'park'},"(2580413100, 2580413101, 2580413102, 2580413098, 2580413103, 2580413100)",,park
4498,251882481,{'leisure': 'park'},"(2580413123, 2580413124, 2580413125, 2580413126, 2580413123)",,park
4499,251882685,{'leisure': 'park'},"(2580415941, 2580415943, 2580415944, 2580415947, 2580415941)",,park
4500,251883666,{'leisure': 'park'},"(2580422636, 2580422637, 2580422638, 2580422639, 2580422636)",,park
4501,251883819,{'leisure': 'park'},"(2580424821, 2580424822, 2580424831, 2580424824, 2580424826, 2580424821)",,park
4502,251883820,{'leisure': 'park'},"(2580424822, 2580424828, 2580424829, 2580424831, 2580424822)",,park
4503,251884231,{'leisure': 'park'},"(2580427881, 2580427882, 2580427883, 2580427884, 2580427881)",,park
4504,252291367,"{'name': 'Lapangan Bola Kaki Lama Inong', 'sport': 'soccer', 'leisure': 'pitch'}","(2583779611, 2583779613, 2583779612, 2583779609, 2583779611)",soccer,pitch
4505,252565282,"{'name': 'Lapangan Volli', 'sport': 'volleyball', 'building': 'sport'}","(2586030537, 2586030539, 2586030540, 2586030538, 2586030537)",volleyball,
4506,252575144,"{'sport': 'soccer', 'leisure': 'pitch'}","(2586265113, 2586265114, 2586265115, 2586265116, 2586265113)",soccer,pitch
4507,252577188,{'leisure': 'park'},"(2586287112, 2586287113, 2586287114, 2586287115, 2586287112)",,park
4508,252588002,"{'name': 'banyumulek futsal', 'sport': 'soccer', 'building': 'yes'}","(2586391869, 2586391778, 2586392153, 2586392260, 2586391869)",soccer,
4509,252588658,"{'sport': 'badminton', 'building': 'yes'}","(2586392906, 2586393312, 2586393415, 2586392976, 2586392906)",badminton,
4510,252637238,{'leisure': 'park'},"(2586837663, 2586837664, 2586837665, 2586837666, 2586837663)",,park
4511,252646030,{'leisure': 'park'},"(2586902431, 2586902433, 2586902436, 2586902438, 2586902431)",,park
4512,252646045,{'leisure': 'park'},"(2586902574, 2586902575, 2586902576, 2586902577, 2586902574)",,park
4513,252646046,{'leisure': 'park'},"(2586902578, 2586902579, 2586902573, 2586902580, 2586902578)",,park
4514,252660381,{'leisure': 'park'},"(2587020405, 2587020406, 2587020407, 2587020408, 2587020409, 2587020410, 2587020405)",,park
4515,252840708,"{'sport': 'volleyball', 'building': 'yes'}","(2588626275, 2588626274, 2588626272, 2588626273, 2588626275)",volleyball,
4516,252848157,{'leisure': 'park'},"(2588707932, 2588707933, 2588707934, 2588707935, 2588707932)",,park
4517,253010583,{'leisure': 'park'},"(2590047989, 2590047992, 2590047996, 2590047999, 2590047989)",,park
4518,253010586,{'leisure': 'park'},"(2590048002, 2590048005, 2590048008, 2590048012, 2590048002)",,park
4519,253035123,{'leisure': 'park'},"(2590229094, 2590229095, 2590229096, 2590229097, 2590229094)",,park
4520,253048707,{'leisure': 'park'},"(2590332676, 2590332677, 2590332678, 2590332679, 2590332676)",,park
4521,253623208,"{'leisure': 'park', 'name': 'Mandarin'}","(2595285985, 2595285986, 2595285987, 2595285988, 2595285989, 2595285990, 2595285991, 2595285992, 2595285993, 2595285994, 2595285995, 2595285996, 2595285997, 2595285998, 2595285985)",,park
4522,253638903,"{'leisure': 'track', 'sport': 'running'}","(2595407240, 2595407234, 2595407232, 2595407225, 2595407224, 2595407222, 2595407245, 2595407229, 2595407220, 2595407249, 2595407230, 2595407231, 2595407236, 2595407239, 2595407250, 2595407241, 2595407235, 2595407248, 2595407247, 2595407243, 2595407218, 2595407226, 2595407221, 2595407227, 2595407240)",running,track
4523,253661268,"{'sport': 'soccer', 'leisure': 'pitch'}","(2595605788, 2595605786, 2595605782, 2595605784, 2595605788)",soccer,pitch
4524,253860182,{'leisure': 'park'},"(2597395186, 2597395190, 2597395193, 2597395196, 2597395199, 2597395202, 2597395209, 2597395212, 2597395215, 2597395218, 2597395219, 2597395186)",,park
4525,253860192,"{'name': 'monumen bambu runcing', 'leisure': 'park'}","(2597395449, 2597395453, 2597395455, 2597395456, 2597395458, 2597395460, 2597395462, 2597395465, 2597395467, 2597395469, 2597395472, 2597395475, 2597395477, 2597395479, 2597395482, 2597395449)",,park
4526,253860195,{'leisure': 'park'},"(2597395527, 2597395529, 2597395531, 2597395533, 2597395535, 2597395537, 2597395540, 2597395543, 2597395546, 2597395548, 2597395550, 2597395552, 2597395554, 2597395556, 2597395558, 2597395561, 2597395564, 2597395566, 2597395568, 2597395570, 2597395572, 2597395574, 3552845908, 2597395576, 2597395578, 2597395580, 2597395583, 2597395585, 2597395587, 2597395590, 2597395592, 2597395594, 2597395596, 2597395598, 2597395600, 2597395603, 2597395606, 2597395609, 2597395612, 2597395615, 2597395618, 2597395621, 2597395624, 2597395627, 2597395629, 2597395631, 2597395633, 2597395635, 2597395637, 2597395639, 2597395641, 2597395643, 2597395645, 2597395647, 2597395649, 2597395651, 2597395653, 2597395655, 2597395658, 2597395660, 2597395662, 3552846655, 2597395670, 2597395672, 2597395673, 2597395674, 2597395675, 2597395676, 2597395677, 2597395679, 2597395681, 2597395683, 2597395685, 2597395687, 2597395689, 2597395691, 2597395693, 2597395695, 2597395697, 2597395699, 2597395701, 2597395703, 2597395527)",,park
4527,253860196,{'leisure': 'park'},"(2597395705, 2597395708, 2597395710, 2597395712, 2597395714, 2597395716, 2597395718, 2597395720, 2597395722, 2597395705)",,park
4528,253927673,"{'name': 'Stadion Barombong', 'sport': 'multi', 'leisure': 'pitch'}","(2597916263, 2597916264, 2597916265, 2597916266, 2597916267, 2597916268, 2597916269, 2597916270, 2597916271, 2597916272, 2597916273, 2597916274, 2597916275, 2597916276, 2597916277, 2597916278, 2597916279, 2597916263)",multi,pitch
4529,254311903,"{'leisure': 'pitch', 'name': 'Lapangan Sepak Bola Tzu Chi', 'sport': 'soccer', 'surface': 'grass'}","(2600992499, 2600992500, 2600992501, 5137078004, 2600992499)",soccer,pitch
4530,254340940,"{'sport': 'tennis', 'leisure': 'pitch'}","(2601282544, 2601282546, 2601282548, 2601282550, 2601282544)",tennis,pitch
4531,254467168,{'leisure': 'park'},"(2602882662, 6476772802, 2787338336, 2602882665, 6782043851, 2602882668, 5619280538, 5619280537, 2602882677, 5625905840, 2602882683, 2787338333, 2602882689, 6476772824, 2602882686, 2602882662)",,park
4532,254475186,"{'sport': 'basketball', 'leisure': 'pitch'}","(2603002674, 2603002675, 2603002676, 2603002677, 2603002674)",basketball,pitch
4533,254612235,"{'name': 'Bundaran Villa Ciomas', 'leisure': 'park'}","(2609043089, 2609043090, 2609043091, 2609043092, 2609043093, 2604199439, 2604199440, 2604199441, 2604199442, 2604199443, 2609043086, 2609043087, 2609043088, 2604199444, 2604199445, 2604199446, 2604199447, 2604199448, 2604199449, 2609043089)",,park
4534,254613287,"{'name': 'Bukit Air', 'leisure': 'park'}","(2604208387, 2604208389, 2604208391, 2604208393, 2604208396, 1847694419, 2604208399, 2604208402, 2604208405, 2604208407, 2604208410, 2604208414, 2604208417, 2604208387)",,park
4535,254615101,{'leisure': 'park'},"(2604230660, 2604230662, 2604230664, 2604230665, 2604230667, 2604230669, 2604230671, 2604230673, 2604230674, 2604230676, 2604230660)",,park
4536,254615102,"{'name': 'Curug Nangka', 'leisure': 'park'}","(2604230678, 2604230680, 2604230682, 2604230693, 2604230684, 2604230686, 2604230687, 2604230689, 2604230691, 2604230678)",,park
4537,254761695,"{'sport': 'soccer', 'leisure': 'pitch'}","(2605821479, 2605821480, 2605821486, 2605821484, 2605821479)",soccer,pitch
4538,254764557,{'leisure': 'park'},"(2605854312, 2605854313, 2605854315, 2019361933, 2605854316, 1813378240, 1813378244, 1813378252, 1813378247, 2605854317, 1732757316, 1813378243, 1562157579, 1562157575, 2605854312)",,park
4539,254774436,"{'sport': 'soccer', 'leisure': 'pitch'}","(2605951600, 2605951601, 2605951602, 2605951603, 2605951600)",soccer,pitch
4540,254774442,{'leisure': 'park'},"(5546781827, 2605951610, 2605951611, 5546781825, 5546781827)",,park
4541,254774443,{'leisure': 'park'},"(2605951613, 2605951614, 2605951615, 5539199126, 2605951613)",,park
4542,254775698,{'leisure': 'park'},"(2605956114, 2605956116, 2605956118, 2605956120, 2605956114)",,park
4543,254972454,{'leisure': 'park'},"(1014211034, 1980133998, 429769957, 5575331010, 429769967, 2607326689, 1014211034)",,park
4544,255005089,"{'name': 'lapang aroma', 'leisure': 'park'}","(2607603748, 2607604672, 2766351978, 2607603746, 2607603748)",,park
